date,direction,entry_price,exit_price,stop_loss,target_1,target_2,range_high,range_low,exit_reason,pnl,pnl_pct,momentum,entry_time,exit_time,is_winner,sig_price_vs_range,sig_intraday_rsi,sig_intraday_macd,sig_vwap,sig_volume,sig_or_candle,sig_vix,sig_ema_cross,sig_gap_open,sig_prev_day_sr,sig_quality_score
2025-06-26,call,543.7550048828125,544.57,542.67,544.57,545.38,543.864990234375,541.52001953125,target_1,0.815,0.1499,70,10:30,11:30,True,5,20,20,20,5,0,0,10.0,10.0,0.0,8.0
2025-06-27,call,549.66,548.33,548.33,550.66,551.65,549.97998046875,546.739990234375,stop,-1.33,-0.242,80,10:30,13:30,False,5,20,20,20,5,10,0,10.0,10.0,0.0,8.0
2025-06-30,call,551.08,550.13,550.13,551.79,552.51,551.3099975585938,549.010009765625,stop,-0.95,-0.1724,65,11:30,12:30,False,0,20,20,20,5,0,0,10.0,10.0,0.0,6.0
2025-07-01,skip,0.0,0.0,0.0,0.0,0.0,550.7100219726562,548.4199829101562,no_breakout,0.0,0.0,10,,,False,-5,20,20,-20,5,-10,0,,,,
2025-07-02,call,549.4500122070312,550.64,547.86,550.64,551.84,549.6400146484375,546.1199951171875,target_1,1.19,0.2166,80,10:30,11:30,True,5,20,20,20,5,10,0,10.0,0.0,0.0,8.0
2025-07-07,skip,0.0,0.0,0.0,0.0,0.0,554.3400268554688,552.489990234375,no_entry,0.0,0.0,25,,,False,0,20,20,-20,5,0,0,10.0,0.0,-8.0,6.0
2025-07-08,skip,0.0,0.0,0.0,0.0,0.0,553.5499877929688,551.2899780273438,no_breakout,0.0,0.0,10,,,False,-5,20,20,-20,5,-10,0,,,,
2025-07-09,skip,0.0,0.0,0.0,0.0,0.0,557.6300048828125,554.4700927734375,no_entry,0.0,0.0,75,,,False,0,20,20,20,5,10,0,10.0,10.0,0.0,7.0
2025-07-10,skip,0.0,0.0,0.0,0.0,0.0,557.2999877929688,552.75,no_breakout,0.0,0.0,10,,,False,-5,20,20,-20,5,-10,0,,,,
2025-07-11,call,555.0800170898438,553.69,553.69,556.12,557.17,555.3900146484375,552.0499877929688,stop,-1.39,-0.2504,80,10:30,14:30,False,5,20,20,20,5,10,0,10.0,0.0,-8.0,7.0
2025-07-14,call,554.74,555.8,553.33,555.8,556.86,555.0800170898438,551.6300048828125,target_1,1.06,0.1911,65,10:30,11:30,True,0,20,20,20,5,0,0,10.0,10.0,0.0,8.0
2025-07-15,skip,0.0,0.0,0.0,0.0,0.0,560.47998046875,558.3900146484375,no_entry,0.0,0.0,55,,,False,0,20,20,20,5,-10,0,10.0,10.0,0.0,5.0
2025-07-16,skip,0.0,0.0,0.0,0.0,0.0,557.1400146484375,554.3099975585938,no_breakout,0.0,0.0,15,,,False,0,20,20,-20,5,-10,0,,,,
2025-07-17,call,559.55,561.14,558.49,560.34,561.14,559.8099975585938,557.2100219726562,target_2,1.59,0.2842,80,10:30,11:30,True,5,20,20,20,5,10,0,10.0,10.0,0.0,7.0
2025-07-18,skip,0.0,0.0,0.0,0.0,0.0,563.3200073242188,560.3300170898438,no_breakout,0.0,0.0,10,,,False,-5,20,20,-20,5,-10,0,,,,
2025-07-21,call,565.8900146484375,563.97,563.97,567.33,568.77,565.9000244140625,562.0900268554688,stop,-1.92,-0.3393,80,10:30,15:30,False,5,20,20,20,5,10,0,10.0,10.0,0.0,8.0
