date,direction,entry_price,exit_price,stop_loss,target_1,target_2,range_high,range_low,exit_reason,pnl,pnl_pct,momentum,entry_time,exit_time,is_winner,sig_price_vs_range,sig_intraday_rsi,sig_intraday_macd,sig_vwap,sig_volume,sig_or_candle,sig_vix,sig_ema_cross,sig_gap_open,sig_prev_day_sr,sig_quality_score
2025-05-21,skip,0.0,0.0,0.0,0.0,0.0,591.4199829101562,588.4199829101562,no_breakout,0.0,0.0,15,,,False,0,20,0,-20,0,10,5,,,,
2025-05-22,skip,0.0,0.0,0.0,0.0,0.0,585.1699829101562,581.405029296875,no_breakout,0.0,0.0,-10,,,False,0,20,0,-20,5,0,5,,,,
2025-05-23,call,578.54,579.55,577.19,579.55,580.56,578.8699951171875,575.5999755859375,target_1,1.01,0.1746,60,10:30,11:30,True,0,20,0,20,5,10,5,10.0,0.0,-8.0,8.0
2025-05-27,call,587.8699951171875,589.08,586.25,589.08,590.3,588.25,584.3699951171875,target_1,1.21,0.2058,40,10:30,11:30,True,5,20,-20,20,5,10,0,10.0,10.0,0.0,8.0
2025-05-28,put,590.22998046875,589.36,591.39,589.36,588.49,592.768798828125,589.9500122070312,target_1,0.87,0.1474,-40,10:30,11:30,True,-5,20,-20,-20,5,-10,0,10.0,10.0,0.0,5.0
2025-05-29,put,588.97,589.989990234375,590.9,587.52,586.08,593.2000122070312,588.5,time_stop,-1.02,-0.1732,-35,11:30,15:30,False,0,20,-20,-20,5,-10,0,10.0,10.0,0.0,4.0
2025-05-30,call,589.5900268554688,588.07,588.07,590.73,591.87,589.8599853515625,586.4000244140625,stop,-1.52,-0.2578,25,10:30,11:30,False,5,20,-20,20,0,0,0,10.0,10.0,0.0,6.0
2025-06-02,call,589.27,590.69,587.37,590.69,592.12,589.739990234375,585.0599975585938,target_1,1.42,0.241,30,10:30,13:30,True,5,20,-20,20,5,0,0,10.0,10.0,0.0,7.0
2025-06-03,call,593.8900146484375,595.45,592.85,594.67,595.45,593.9000244140625,591.8499755859375,target_2,1.56,0.2627,40,10:30,11:30,True,5,20,-20,20,5,10,0,10.0,10.0,0.0,7.0
2025-06-04,call,597.7,596.69,596.69,598.46,599.22,597.9500122070312,595.489990234375,stop,-1.01,-0.169,30,10:30,11:30,False,5,20,-20,20,5,0,0,10.0,10.0,0.0,6.0
2025-06-05,skip,0.0,0.0,0.0,0.0,0.0,597.905029296875,593.9099731445312,no_breakout,0.0,0.0,10,,,False,0,20,-20,20,0,-10,0,,,,
2025-06-06,put,598.65,597.14,599.66,597.89,597.14,600.8300170898438,598.4099731445312,target_2,1.51,0.2522,-25,10:30,12:30,True,0,20,-20,-20,5,0,0,10.0,10.0,0.0,2.0
2025-06-09,call,599.84,599.22,599.22,600.31,600.77,599.989990234375,598.5,stop,-0.62,-0.1034,30,10:30,11:30,False,5,20,-20,20,5,0,0,10.0,10.0,0.0,6.0
2025-06-10,call,601.2000122070312,600.68,600.68,601.59,601.98,601.2698974609375,600.1599731445312,stop,-0.52,-0.0865,35,10:30,11:30,False,5,20,-20,20,0,10,0,10.0,10.0,0.0,5.0
2025-06-11,call,604.739990234375,603.52,603.52,605.65,606.57,604.885009765625,602.25,stop,-1.22,-0.2017,30,10:30,11:30,False,5,20,-20,20,5,0,0,10.0,10.0,0.0,6.0
2025-06-12,call,602.489990234375,603.57,601.05,603.57,604.65,602.6400146484375,599.52001953125,target_1,1.08,0.1793,40,10:30,14:30,True,5,20,-20,20,5,10,0,10.0,10.0,0.0,8.0
2025-06-13,put,596.8699951171875,598.55,598.55,595.61,594.35,600.3699951171875,596.6300048828125,stop,-1.68,-0.2815,-45,10:30,11:30,False,-5,20,-20,-20,5,-10,5,10.0,0.0,-8.0,5.0
2025-06-16,call,604.0700073242188,602.55,602.55,605.21,606.35,604.1799926757812,600.9600219726562,stop,-1.52,-0.2516,40,10:30,12:30,False,5,20,-20,20,5,10,0,10.0,10.0,0.0,8.0
2025-06-17,call,601.39,600.37,600.37,602.16,602.92,601.6400146484375,599.1799926757812,stop,-1.02,-0.1696,35,10:30,11:30,False,5,20,-20,20,5,0,5,10.0,10.0,0.0,7.0
2025-06-18,call,600.780029296875,599.13,599.13,602.02,603.26,600.989990234375,597.3599853515625,stop,-1.65,-0.2746,45,10:30,12:30,False,5,20,-20,20,5,10,5,10.0,10.0,0.0,8.0
2025-06-20,put,595.73,594.46,597.43,594.46,593.18,599.4600219726562,595.3112182617188,target_1,1.27,0.2132,-45,10:30,11:30,True,-5,20,-20,-20,5,-10,5,10.0,10.0,0.0,5.0
2025-06-23,call,597.82,599.26,595.9,599.26,600.7,598.2899780273438,593.5999755859375,target_1,1.44,0.2409,40,12:30,13:30,True,5,20,-20,20,5,10,0,10.0,10.0,0.0,8.0
2025-06-24,call,605.25,606.51,604.41,605.88,606.51,605.4500122070312,603.4099731445312,target_2,1.26,0.2082,25,10:30,11:30,True,0,20,-20,20,5,0,0,10.0,10.0,0.0,6.0
2025-06-25,skip,0.0,0.0,0.0,0.0,0.0,608.6099853515625,607.3400268554688,no_breakout,0.0,0.0,20,,,False,-5,20,20,-20,5,0,0,,,,
2025-06-26,call,609.9299926757812,611.08,609.16,610.51,611.08,609.97998046875,608.3699951171875,target_2,1.15,0.1885,80,10:30,11:30,True,5,20,20,20,5,10,0,10.0,10.0,0.0,7.0
2025-06-27,call,615.22,616.09,614.06,616.09,616.96,615.5,612.7000122070312,target_1,0.87,0.1414,75,10:30,11:30,True,5,20,20,20,0,10,0,10.0,10.0,0.0,6.0
2025-06-30,skip,0.0,0.0,0.0,0.0,0.0,617.489990234375,615.9299926757812,no_breakout,0.0,0.0,10,,,False,0,20,20,-20,0,-10,0,,,,
2025-07-01,call,617.88,617.13,617.13,618.44,619.0,618.0650024414062,616.2550048828125,stop,-0.75,-0.1214,35,11:30,12:30,False,0,20,20,-20,5,10,0,10.0,10.0,0.0,6.0
2025-07-02,call,618.5999755859375,619.31,617.65,619.31,620.02,618.719970703125,616.6099853515625,target_1,0.71,0.1148,80,10:30,11:30,True,5,20,20,20,5,10,0,10.0,10.0,0.0,7.0
2025-07-07,skip,0.0,0.0,0.0,0.0,0.0,624.030029296875,622.530029296875,no_breakout,0.0,0.0,20,,,False,0,20,20,-20,0,0,0,,,,
2025-07-08,skip,0.0,0.0,0.0,0.0,0.0,621.6649780273438,619.6420288085938,no_breakout,0.0,0.0,10,,,False,-5,20,20,-20,5,-10,0,,,,
2025-07-09,skip,0.0,0.0,0.0,0.0,0.0,624.719970703125,622.6500244140625,no_entry,0.0,0.0,25,,,False,0,20,20,-20,5,0,0,10.0,10.0,0.0,6.0
2025-07-10,call,624.15,624.94,623.62,624.55,624.94,624.280029296875,623.010009765625,target_2,0.79,0.1266,55,10:30,11:30,True,0,20,20,20,5,-10,0,10.0,10.0,0.0,5.0
2025-07-11,call,624.0,624.85,622.87,624.85,625.69,624.260009765625,621.530029296875,target_1,0.85,0.1362,80,10:30,14:30,True,5,20,20,20,5,10,0,10.0,10.0,0.0,7.0
2025-07-14,call,623.52,624.1,622.74,624.1,624.69,623.7100219726562,621.7999267578125,target_1,0.58,0.093,25,10:30,11:30,True,0,20,20,-20,5,0,0,10.0,10.0,0.0,4.0
2025-07-15,skip,0.0,0.0,0.0,0.0,0.0,627.8599853515625,625.260009765625,no_breakout,0.0,0.0,10,,,False,-5,20,20,-20,5,-10,0,,,,
2025-07-16,skip,0.0,0.0,0.0,0.0,0.0,624.1199951171875,621.6799926757812,no_breakout,0.0,0.0,10,,,False,0,20,20,-20,0,-10,0,,,,
2025-07-17,call,626.02,627.26,625.19,626.64,627.26,626.22998046875,624.1799926757812,target_2,1.24,0.1981,75,10:30,11:30,True,0,20,20,20,5,10,0,10.0,10.0,0.0,7.0
2025-07-18,skip,0.0,0.0,0.0,0.0,0.0,629.469970703125,627.239990234375,no_breakout,0.0,0.0,10,,,False,-5,20,20,-20,5,-10,0,,,,
2025-07-21,call,631.25,629.98,629.98,632.2,633.16,631.3300170898438,628.6799926757812,stop,-1.27,-0.2012,80,10:30,14:30,False,5,20,20,20,5,10,0,10.0,10.0,0.0,7.0
2025-07-22,skip,0.0,0.0,0.0,0.0,0.0,629.1900024414062,626.1900024414062,no_breakout,0.0,0.0,-15,,,False,0,20,0,-20,5,-10,0,,,,
2025-07-23,call,631.29,631.83,630.57,631.83,632.37,631.4650268554688,629.72998046875,target_1,0.54,0.0855,45,11:30,12:30,True,0,20,0,20,5,0,0,10.0,10.0,0.0,5.0
2025-07-24,call,635.25,634.66,634.66,635.69,636.14,635.3900146484375,633.989990234375,stop,-0.59,-0.0929,65,10:30,11:30,False,0,20,20,20,5,0,0,10.0,10.0,0.0,7.0
2025-07-25,call,635.53,636.01,635.21,635.77,636.01,635.6099853515625,634.8400268554688,target_2,0.48,0.0755,80,10:30,11:30,True,5,20,20,20,5,10,0,10.0,10.0,0.0,7.0
2025-07-28,skip,0.0,0.0,0.0,0.0,0.0,638.0399780273438,637.0800170898438,no_entry,0.0,0.0,65,,,False,0,20,20,20,5,0,0,10.0,10.0,0.0,7.0
2025-07-29,skip,0.0,0.0,0.0,0.0,0.0,638.6699829101562,637.239990234375,no_breakout,0.0,0.0,15,,,False,0,20,20,-20,5,-10,0,,,,
2025-07-30,call,636.53,635.93,635.93,636.98,637.43,636.6649780273438,635.2899780273438,stop,-0.6,-0.0943,65,10:30,11:30,False,5,20,20,20,0,0,0,10.0,10.0,0.0,6.0
2025-07-31,skip,0.0,0.0,0.0,0.0,0.0,639.8499755859375,637.6900024414062,no_entry,0.0,0.0,65,,,False,0,20,20,20,5,0,0,10.0,10.0,0.0,5.0
2025-08-01,skip,0.0,0.0,0.0,0.0,0.0,626.3400268554688,619.6500244140625,no_breakout,0.0,0.0,-20,,,False,0,0,-20,20,5,-10,5,,,,
2025-08-04,call,629.4099731445312,630.82,627.53,630.82,632.23,629.530029296875,625.5800170898438,target_1,1.41,0.224,40,10:30,15:30,True,5,20,-20,20,5,10,0,10.0,10.0,0.0,7.0
2025-08-05,put,629.53,627.43,630.93,628.48,627.43,632.605224609375,629.1900024414062,target_2,2.1,0.3336,-40,10:30,11:30,True,-5,20,-20,-20,5,-10,0,10.0,10.0,0.0,4.0
2025-08-06,skip,0.0,0.0,0.0,0.0,0.0,630.6099853515625,628.1300048828125,no_entry,0.0,0.0,-50,,,False,-5,0,-20,-20,5,0,0,10.0,10.0,0.0,3.0
2025-08-07,put,633.51,631.14,635.09,632.32,631.14,636.97998046875,633.1199951171875,target_2,2.37,0.3741,-40,10:30,11:30,True,-5,20,-20,-20,5,-10,0,10.0,10.0,0.0,4.0
2025-08-08,call,636.48,635.23,635.23,637.42,638.36,636.780029296875,633.739990234375,stop,-1.25,-0.1964,40,10:30,11:30,False,5,20,-20,20,5,10,0,10.0,10.0,0.0,7.0
2025-08-11,skip,0.0,0.0,0.0,0.0,0.0,637.969970703125,636.8809814453125,no_breakout,0.0,0.0,-5,,,False,0,20,0,-20,5,0,0,,,,
2025-08-12,call,639.56,641.43,638.31,640.5,641.43,639.8701171875,636.7899780273438,target_2,1.87,0.2924,60,10:30,11:30,True,5,20,0,20,5,10,0,10.0,10.0,0.0,7.0
2025-08-13,skip,0.0,0.0,0.0,0.0,0.0,646.1900024414062,643.989990234375,no_breakout,0.0,0.0,10,,,False,-5,20,20,-20,5,-10,0,,,,
2025-08-14,call,644.39,643.45,643.45,645.09,645.8,644.614990234375,642.3400268554688,stop,-0.94,-0.1459,80,10:30,11:30,False,5,20,20,20,5,10,0,10.0,10.0,0.0,7.0
2025-08-15,skip,0.0,0.0,0.0,0.0,0.0,646.0900268554688,643.2100219726562,no_breakout,0.0,0.0,15,,,False,0,20,20,-20,5,-10,0,,,,
2025-08-18,call,643.79,643.21,643.21,644.22,644.66,643.9349975585938,642.530029296875,stop,-0.58,-0.0901,25,13:30,14:30,False,0,20,20,-20,5,0,0,10.0,10.0,0.0,6.0
2025-08-19,skip,0.0,0.0,0.0,0.0,0.0,644.10498046875,642.030029296875,no_entry,0.0,0.0,25,,,False,0,20,20,-20,5,0,0,10.0,10.0,0.0,6.0
2025-08-20,put,633.9400024414062,636.44,636.44,632.07,630.19,639.1199951171875,633.6699829101562,stop,-2.5,-0.3944,-60,10:30,11:30,False,-5,0,-20,-20,5,-10,0,10.0,10.0,8.0,4.0
2025-08-21,call,637.8900146484375,636.1,636.1,639.23,640.58,637.969970703125,634.3099975585938,stop,-1.79,-0.2806,40,10:30,11:30,False,5,20,-20,20,5,10,0,10.0,10.0,0.0,7.0
2025-08-22,call,644.72,645.239990234375,641.37,647.23,649.75,645.5499877929688,637.25,time_stop,0.52,0.0807,80,10:30,15:30,True,5,20,20,20,5,10,0,10.0,10.0,0.0,7.0
2025-08-25,call,644.54,644.93,644.02,644.93,645.32,644.6699829101562,643.4099731445312,target_1,0.39,0.0605,65,10:30,11:30,True,0,20,20,20,5,0,0,10.0,10.0,0.0,7.0
2025-08-26,call,643.1,642.4,642.4,643.62,644.15,643.27001953125,641.5700073242188,stop,-0.7,-0.1088,80,10:30,11:30,False,5,20,20,20,5,10,0,10.0,10.0,0.0,7.0
2025-08-27,call,646.15,647.33,645.36,646.74,647.33,646.3400268554688,644.4199829101562,target_2,1.18,0.1826,80,10:30,13:30,True,5,20,20,20,5,10,0,10.0,10.0,0.0,7.0
2025-08-28,skip,0.0,0.0,0.0,0.0,0.0,648.0900268554688,645.3400268554688,no_breakout,0.0,0.0,10,,,False,-5,20,20,-20,5,-10,0,,,,
2025-08-29,skip,0.0,0.0,0.0,0.0,0.0,647.7581176757812,643.6300048828125,no_breakout,0.0,0.0,10,,,False,-5,20,20,-20,5,-10,0,,,,
2025-09-02,call,639.73,640.3300170898438,638.05,640.99,642.25,640.1400146484375,636.0499877929688,eod,0.6,0.0938,40,15:30,15:30,True,5,0,0,20,5,10,0,10.0,-10.0,8.0,5.0
2025-09-03,put,641.75,640.71,642.44,641.23,640.71,643.22998046875,641.5900268554688,target_2,1.04,0.1621,-45,12:30,13:30,True,0,0,-20,-20,5,0,0,10.0,10.0,0.0,4.0
2025-09-04,call,645.12,646.23,644.38,645.67,646.23,645.2999877929688,643.510009765625,target_2,1.11,0.1721,50,10:30,11:30,True,5,0,20,20,5,0,0,10.0,10.0,0.0,7.0
2025-09-05,skip,0.0,0.0,0.0,0.0,0.0,652.2100219726562,646.0499877929688,no_breakout,0.0,0.0,-20,,,False,-5,0,20,-20,5,-10,0,,,,
2025-09-08,call,648.93,649.75,648.38,649.34,649.75,649.0599975585938,647.75,target_2,0.82,0.1264,70,10:30,11:30,True,5,20,20,20,5,0,0,10.0,10.0,0.0,7.0
2025-09-09,skip,0.0,0.0,0.0,0.0,0.0,649.72998046875,648.4299926757812,no_breakout,0.0,0.0,20,,,False,-5,20,20,-20,5,0,0,,,,
2025-09-10,skip,0.0,0.0,0.0,0.0,0.0,654.5499877929688,652.6799926757812,no_entry,0.0,0.0,65,,,False,0,20,20,20,5,0,0,10.0,10.0,0.0,7.0
2025-09-11,call,655.98,657.6,654.9,656.79,657.6,656.25,653.5900268554688,target_2,1.62,0.247,80,10:30,11:30,True,5,20,20,20,5,10,0,10.0,10.0,0.0,7.0
2025-09-12,call,658.09,657.65,657.65,658.42,658.75,658.2000122070312,657.14501953125,stop,-0.44,-0.0669,80,10:30,11:30,False,5,20,20,20,5,10,0,10.0,10.0,0.0,7.0
2025-09-15,call,660.6599731445312,660.09,660.09,661.09,661.51,660.7349853515625,659.47998046875,stop,-0.57,-0.0863,80,10:30,12:30,False,5,20,20,20,5,10,0,10.0,10.0,0.0,7.0
2025-09-16,skip,0.0,0.0,0.0,0.0,0.0,661.780029296875,659.6300048828125,no_breakout,0.0,0.0,10,,,False,-5,20,20,-20,5,-10,0,,,,
2025-09-17,skip,0.0,0.0,0.0,0.0,0.0,660.655029296875,659.0900268554688,no_breakout,0.0,0.0,5,,,False,-5,20,20,-20,0,-10,0,,,,
2025-09-18,call,664.3800048828125,662.35,662.35,665.9,667.43,664.489990234375,660.27001953125,stop,-2.03,-0.3055,80,10:30,11:30,False,5,20,20,20,5,10,0,10.0,10.0,0.0,7.0
2025-09-19,call,662.56,663.43,661.98,662.99,663.43,662.7000122070312,661.3200073242188,target_2,0.87,0.1313,25,11:30,14:30,True,0,20,20,-20,5,0,0,10.0,10.0,0.0,4.0
2025-09-22,call,664.0700073242188,665.47,663.14,664.77,665.47,664.1400146484375,662.1699829101562,target_2,1.4,0.2108,80,10:30,11:30,True,5,20,20,20,5,10,0,10.0,10.0,0.0,7.0
2025-09-23,skip,0.0,0.0,0.0,0.0,0.0,667.3400268554688,666.3599853515625,no_breakout,0.0,0.0,20,,,False,-5,20,20,-20,5,0,0,,,,
2025-09-24,skip,0.0,0.0,0.0,0.0,0.0,664.6099853515625,662.4199829101562,no_breakout,0.0,0.0,15,,,False,0,20,20,-20,5,-10,0,,,,
2025-09-25,call,658.74,657.07,657.07,659.99,661.24,659.1500244140625,655.0800170898438,stop,-1.67,-0.2535,70,10:30,12:30,False,5,20,20,20,5,0,0,10.0,0.0,0.0,7.0
2025-09-26,skip,0.0,0.0,0.0,0.0,0.0,662.3699951171875,657.8800048828125,no_breakout,0.0,0.0,-10,,,False,-5,20,0,-20,5,0,0,,,,
2025-09-29,call,665.12,664.47,664.47,665.61,666.1,665.280029296875,663.7249755859375,stop,-0.65,-0.0977,65,10:30,11:30,False,0,20,20,20,5,0,0,10.0,10.0,0.0,7.0
2025-09-30,call,663.39,662.72,662.72,663.89,664.4,663.5512084960938,661.9692993164062,stop,-0.67,-0.101,65,10:30,11:30,False,0,20,20,20,5,0,0,10.0,10.0,0.0,7.0
2025-10-01,call,665.530029296875,666.41,664.36,666.41,667.29,665.7100219726562,663.0599975585938,target_1,0.88,0.1322,80,10:30,11:30,True,5,20,20,20,5,10,0,10.0,0.0,0.0,7.0
2025-10-02,skip,0.0,0.0,0.0,0.0,0.0,670.5650024414062,668.2899780273438,no_breakout,0.0,0.0,10,,,False,-5,20,20,-20,5,-10,0,,,,
2025-10-03,call,671.41,672.44,670.72,671.93,672.44,671.5700073242188,669.9299926757812,target_2,1.03,0.1534,80,10:30,11:30,True,5,20,20,20,5,10,0,10.0,10.0,0.0,7.0
2025-10-06,skip,0.0,0.0,0.0,0.0,0.0,671.6500244140625,669.4550170898438,no_breakout,0.0,0.0,15,,,False,0,20,20,-20,5,-10,0,,,,
2025-10-07,skip,0.0,0.0,0.0,0.0,0.0,672.989990234375,671.260009765625,no_breakout,0.0,0.0,10,,,False,-5,20,20,-20,5,-10,0,,,,
2025-10-08,call,671.885009765625,672.8,670.67,672.8,673.71,671.9600219726562,669.4199829101562,target_1,0.915,0.1362,80,10:30,11:30,True,5,20,20,20,5,10,0,10.0,10.0,0.0,7.0
2025-10-09,skip,0.0,0.0,0.0,0.0,0.0,673.9400024414062,671.1199951171875,no_breakout,0.0,0.0,10,,,False,-5,20,20,-20,5,-10,0,,,,
2025-10-10,skip,0.0,0.0,0.0,0.0,0.0,673.9500122070312,671.7999877929688,no_entry,0.0,0.0,25,,,False,0,20,20,-20,0,0,5,10.0,10.0,0.0,6.0
2025-10-13,put,660.14,661.56,661.56,659.08,658.01,663.22998046875,659.7999877929688,stop,-1.42,-0.2151,-45,10:30,11:30,False,0,0,-20,-20,5,0,0,10.0,10.0,0.0,5.0
2025-10-14,call,659.780029296875,662.25,656.49,662.25,664.72,659.9099731445312,653.1699829101562,target_1,2.47,0.3744,25,10:30,11:30,True,5,0,-20,20,5,10,5,10.0,-10.0,-8.0,4.0
2025-10-15,call,669.81,668.07,668.07,671.11,672.42,670.22998046875,666.0499877929688,stop,-1.74,-0.2598,45,10:30,11:30,False,5,20,-20,20,5,10,5,10.0,10.0,0.0,8.0
2025-10-16,skip,0.0,0.0,0.0,0.0,0.0,668.0800170898438,665.4199829101562,no_breakout,0.0,0.0,-5,,,False,0,0,-20,20,0,0,5,,,,
2025-10-17,call,663.17,660.91,660.91,664.86,666.56,663.7150268554688,658.22998046875,stop,-2.26,-0.3408,25,11:30,12:30,False,5,0,-20,20,5,10,5,10.0,10.0,-8.0,5.0
2025-10-20,skip,0.0,0.0,0.0,0.0,0.0,670.3900146484375,667.27001953125,no_breakout,0.0,0.0,20,,,False,5,0,-20,20,5,10,0,,,,
2025-10-21,skip,0.0,0.0,0.0,0.0,0.0,671.9000244140625,669.9810180664062,no_entry,0.0,0.0,-55,,,False,0,0,-20,-20,5,-10,0,10.0,10.0,0.0,4.0
2025-10-22,put,669.4500122070312,667.55,670.72,668.5,667.55,672.0,669.3250122070312,target_2,1.9,0.2838,-35,10:30,11:30,True,-5,0,0,-20,0,-10,0,10.0,10.0,0.0,3.0
2025-10-23,call,670.45,671.36,669.24,671.36,672.27,670.739990234375,667.7999877929688,target_1,0.91,0.1357,35,11:30,12:30,True,0,0,0,20,5,10,0,10.0,10.0,0.0,4.0
2025-10-24,skip,0.0,0.0,0.0,0.0,0.0,677.9400024414062,675.6500244140625,no_breakout,0.0,0.0,-5,,,False,0,0,20,-20,5,0,0,,,,
2025-10-27,call,683.46,683.92,682.85,683.92,684.38,683.6099853515625,682.114990234375,target_1,0.46,0.0673,65,11:30,13:30,True,0,20,20,20,5,0,0,10.0,10.0,0.0,7.0
2025-10-28,skip,0.0,0.0,0.0,0.0,0.0,687.2249755859375,685.1199951171875,no_breakout,0.0,0.0,15,,,False,0,20,20,-20,5,-10,0,,,,
2025-10-29,skip,0.0,0.0,0.0,0.0,0.0,689.7000122070312,688.1500244140625,no_entry,0.0,0.0,65,,,False,0,20,20,20,5,0,0,10.0,10.0,0.0,7.0
2025-10-30,call,685.49,683.62,683.62,686.89,688.3,685.9400024414062,681.3900146484375,stop,-1.87,-0.2728,25,10:30,11:30,False,0,20,20,-20,5,0,0,10.0,0.0,0.0,6.0
2025-10-31,skip,0.0,0.0,0.0,0.0,0.0,685.0800170898438,682.2100219726562,no_breakout,0.0,0.0,15,,,False,0,20,20,-20,5,-10,0,,,,
2025-11-03,skip,0.0,0.0,0.0,0.0,0.0,685.7999877929688,680.239990234375,no_breakout,0.0,0.0,10,,,False,-5,20,20,-20,5,-10,0,,,,
2025-11-04,call,679.3200073242188,677.11,677.11,680.98,682.64,679.64501953125,674.6699829101562,stop,-2.21,-0.3253,80,10:30,11:30,False,5,20,20,20,5,10,0,10.0,-10.0,0.0,8.0
2025-11-05,call,677.7,678.9,676.1,678.9,680.1,678.0900268554688,674.1699829101562,target_1,1.2,0.1771,80,10:30,11:30,True,5,20,20,20,5,10,0,10.0,10.0,0.0,8.0
