date,direction,entry_price,exit_price,stop_loss,target_1,target_2,range_high,range_low,exit_reason,pnl,pnl_pct,momentum,entry_time,exit_time,is_winner,sig_price_vs_range,sig_intraday_rsi,sig_intraday_macd,sig_vwap,sig_volume,sig_or_candle,sig_vix,sig_gap_open,sig_prev_day_sr,sig_ema_cross,sig_range_width
2025-08-05,call,204.6,203.34,203.34,205.54,206.49,204.55499267578125,202.16000366210938,stop,-1.26,-0.6158,38,10:30,12:30,False,0,0,0,15,5,10,0,10,0,-10,8
2025-08-06,call,211.23,213.4,208.34,213.4,215.56,211.14999389648438,205.58999633789062,target_1,2.17,1.0273,38,10:30,11:30,True,0,0,0,15,5,10,0,10,0,-10,8
2025-08-07,put,216.46,218.5,218.5,214.93,213.4,220.3300018310547,216.5800018310547,stop,-2.04,-0.9424,-28,12:30,13:30,False,0,0,0,-15,5,0,0,10,0,-10,8
2025-08-08,call,223.22,226.36,221.13,224.79,226.36,223.10000610351562,219.25,target_2,3.14,1.4067,33,10:30,11:30,True,0,0,0,15,0,10,0,10,0,-10,8
2025-08-11,skip,0.0,0.0,0.0,0.0,0.0,228.72999572753906,224.7624053955078,no_breakout,0.0,0.0,-8,,,False,0,0,0,15,5,0,0,-10,0,-10,8
2025-08-12,skip,0.0,0.0,0.0,0.0,0.0,229.9398956298828,227.10000610351562,no_breakout,0.0,0.0,20,,,False,0,0,0,15,5,0,0,10,-8,-10,8
2025-08-13,skip,0.0,0.0,0.0,0.0,0.0,232.72000122070312,230.42999267578125,no_breakout,0.0,0.0,20,,,False,0,0,0,15,5,0,0,10,0,-10,0
2025-08-14,put,231.61,233.41,233.41,230.26,228.91,235.11000061035156,231.67019653320312,stop,-1.8,-0.7772,-38,10:30,14:30,False,0,0,0,-15,5,-10,0,10,0,-10,8
2025-08-15,put,231.49,230.42,232.91,230.42,229.36,234.22140502929688,231.5500946044922,target_1,1.07,0.4622,-38,10:30,12:30,True,0,0,0,-15,5,-10,0,10,0,-10,8
2025-08-18,put,230.57,230.8800048828125,231.88,229.59,228.6,233.1199951171875,230.61000061035156,time_stop,-0.31,-0.1345,-48,10:30,15:30,False,0,0,0,-15,5,-10,0,0,0,-10,8
2025-08-19,skip,0.0,0.0,0.0,0.0,0.0,232.86500549316406,230.58999633789062,no_breakout,0.0,0.0,20,,,False,0,0,0,15,5,0,0,10,-8,-10,8
2025-08-20,put,226.44,225.9600067138672,228.51,224.89,223.34,230.4698944091797,226.5,time_stop,0.48,0.212,-48,10:30,15:30,True,0,0,0,-15,5,-10,0,0,0,-10,8
2025-08-21,put,224.63,225.62,225.62,223.89,223.14,226.52000427246094,224.67999267578125,stop,-0.99,-0.4407,-30,10:30,11:30,False,0,0,0,-15,5,-10,0,10,8,-10,8
2025-08-22,call,228.25,227.75,226.78,229.35,230.46,228.19000244140625,225.41000366210938,time_stop,-0.5,-0.2191,38,10:30,15:30,False,0,0,0,15,5,10,0,10,0,-10,8
2025-08-25,skip,0.0,0.0,0.0,0.0,0.0,229.1199951171875,226.24000549316406,no_breakout,0.0,0.0,18,,,False,0,0,0,15,5,10,0,-10,0,-10,8
